hex,name,Red,Green,Blue,Family,Link,Source
#702963,Byzantium,112,41,99,,https://encycolorpedia.com/702963,encycolorpedia
#536872,Cadet,83,104,114,,https://encycolorpedia.com/536872,encycolorpedia
#5f9ea0,Cadet blue,95,158,160,,https://encycolorpedia.com/5f9ea0,encycolorpedia
#a9b2c3,Cadet blue (Crayola),169,178,195,,https://encycolorpedia.com/a9b2c3,encycolorpedia
#91a3b0,Cadet grey,145,163,176,,https://encycolorpedia.com/91a3b0,encycolorpedia
#0a1195,Cadmium blue,10,17,149,,https://encycolorpedia.com/0a1195,encycolorpedia
#006b3c,Cadmium green,0,107,60,,https://encycolorpedia.com/006b3c,encycolorpedia
#ed872d,Cadmium orange,237,135,45,,https://encycolorpedia.com/ed872d,encycolorpedia
#b60c26,Cadmium purple,182,12,38,,https://encycolorpedia.com/b60c26,encycolorpedia
#e30022,Cadmium red,227,0,34,,https://encycolorpedia.com/e30022,encycolorpedia
#7f3e98,Cadmium violet,127,62,152,,https://encycolorpedia.com/7f3e98,encycolorpedia
#fff600,Cadmium yellow,255,246,0,,https://encycolorpedia.com/fff600,encycolorpedia
#a67b5b,Café au lait,166,123,91,,https://encycolorpedia.com/a67b5b,encycolorpedia
#4b3621,Café noir,75,54,33,,https://encycolorpedia.com/4b3621,encycolorpedia
#1e4d2b,Cal Poly Pomona green,30,77,43,,https://encycolorpedia.com/1e4d2b,encycolorpedia
#fcffa4,Calamansi,252,255,164,,https://encycolorpedia.com/fcffa4,encycolorpedia
#a3c1ad,Cambridge blue,163,193,173,,https://encycolorpedia.com/a3c1ad,encycolorpedia
#c19a6b,Camel,193,154,107,,https://encycolorpedia.com/c19a6b,encycolorpedia
#efbbcc,Cameo pink,239,187,204,,https://encycolorpedia.com/efbbcc,encycolorpedia
#78866b,Camouflage green,120,134,107,,https://encycolorpedia.com/78866b,encycolorpedia
#ffff99,Canary,255,255,153,,https://encycolorpedia.com/ffff99,encycolorpedia
#ffef00,Canary yellow,255,239,0,,https://encycolorpedia.com/ffef00,encycolorpedia
#ff0800,Candy apple red,255,8,0,,https://encycolorpedia.com/ff0800,encycolorpedia
#e4717a,Candy pink,228,113,122,,https://encycolorpedia.com/e4717a,encycolorpedia
#ffb95a,Cape jasmine or gardenia (Kuchinashi),255,185,90,,https://encycolorpedia.com/ffb95a,encycolorpedia
#00bfff,Capri,0,191,255,,https://encycolorpedia.com/00bfff,encycolorpedia
#592720,Caput mortuum,89,39,32,,https://encycolorpedia.com/592720,encycolorpedia
#ffd59a,Caramel,255,213,154,,https://encycolorpedia.com/ffd59a,encycolorpedia
#c41e3a,Cardinal,196,30,58,,https://encycolorpedia.com/c41e3a,encycolorpedia
#1ac1dd,Caribbean blue,26,193,221,,https://encycolorpedia.com/1ac1dd,encycolorpedia
#00cc99,Caribbean green,0,204,153,,https://encycolorpedia.com/00cc99,encycolorpedia
#960018,Carmine,150,0,24,,https://encycolorpedia.com/960018,encycolorpedia
#d70040,Carmine (M&P),215,0,64,,https://encycolorpedia.com/d70040,encycolorpedia
#eb4c42,Carmine pink,235,76,66,,https://encycolorpedia.com/eb4c42,encycolorpedia
#ff0038,Carmine red,255,0,56,,https://encycolorpedia.com/ff0038,encycolorpedia
#ffa6c9,Carnation pink,255,166,201,,https://encycolorpedia.com/ffa6c9,encycolorpedia
#b31b1b,Carnelian,179,27,27,,https://encycolorpedia.com/b31b1b,encycolorpedia
#56a0d3,Carolina blue,86,160,211,,https://encycolorpedia.com/56a0d3,encycolorpedia
#ed9121,Carrot orange,237,145,33,,https://encycolorpedia.com/ed9121,encycolorpedia
#00563f,Castleton green,0,86,63,,https://encycolorpedia.com/00563f,encycolorpedia
#062a78,Catalina blue,6,42,120,,https://encycolorpedia.com/062a78,encycolorpedia
#703642,Catawba,112,54,66,,https://encycolorpedia.com/703642,encycolorpedia
#b64925,Cattail color (the plant) (Kaba-iro),182,73,37,,https://encycolorpedia.com/b64925,encycolorpedia
#c95a49,Cedar Chest,201,90,73,,https://encycolorpedia.com/c95a49,encycolorpedia
#92a1cf,Ceil,146,161,207,,https://encycolorpedia.com/92a1cf,encycolorpedia
#ace1af,Celadon,172,225,175,,https://encycolorpedia.com/ace1af,encycolorpedia
#007ba7,Celadon blue,0,123,167,,https://encycolorpedia.com/007ba7,encycolorpedia
#819c8b,Celadon color (Seiji-iro),129,156,139,,https://encycolorpedia.com/819c8b,encycolorpedia
#2f847c,Celadon green,47,132,124,,https://encycolorpedia.com/2f847c,encycolorpedia
#b2ffff,Celeste,178,255,255,,https://encycolorpedia.com/b2ffff,encycolorpedia
#4997d0,Celestial blue,73,151,208,,https://encycolorpedia.com/4997d0,encycolorpedia
#246bce,Celtic blue,36,107,206,,https://encycolorpedia.com/246bce,encycolorpedia
#de3163,Cerise,222,49,99,,https://encycolorpedia.com/de3163,encycolorpedia
#ec3b83,Cerise pink,236,59,131,,https://encycolorpedia.com/ec3b83,encycolorpedia
#2a52be,Cerulean blue,42,82,190,,https://encycolorpedia.com/2a52be,encycolorpedia
#6d9bc3,Cerulean frost,109,155,195,,https://encycolorpedia.com/6d9bc3,encycolorpedia
#1440,Cetacean blue,20,64,0,,https://encycolorpedia.com/#1440,encycolorpedia
#007aa5,CG blue,0,122,165,,https://encycolorpedia.com/007aa5,encycolorpedia
#e03c31,CG red,224,60,49,,https://encycolorpedia.com/e03c31,encycolorpedia
#a0785a,Chamoisee,160,120,90,,https://encycolorpedia.com/a0785a,encycolorpedia
#f7e7ce,Champagne,247,231,206,,https://encycolorpedia.com/f7e7ce,encycolorpedia
#f1ddcf,Champagne pink,241,221,207,,https://encycolorpedia.com/f1ddcf,encycolorpedia
#36454f,Charcoal,54,69,79,,https://encycolorpedia.com/36454f,encycolorpedia
#232b2b,Charleston green,35,43,43,,https://encycolorpedia.com/232b2b,encycolorpedia
#d0748b,Charm,208,116,139,,https://encycolorpedia.com/d0748b,encycolorpedia
#e68fac,Charm pink,230,143,172,,https://encycolorpedia.com/e68fac,encycolorpedia
#dfff00,Chartreuse (traditional),223,255,0,,https://encycolorpedia.com/dfff00,encycolorpedia
#ffa600,Cheese,255,166,0,,https://encycolorpedia.com/ffa600,encycolorpedia
#fcc9b9,Cherry blossom color (Sakura-iro),252,201,185,,https://encycolorpedia.com/fcc9b9,encycolorpedia
#ac8181,Cherry blossom mouse (Sakuranezumi),172,129,129,,https://encycolorpedia.com/ac8181,encycolorpedia
#ffb7c5,Cherry blossom pink,255,183,197,,https://encycolorpedia.com/ffb7c5,encycolorpedia
#954535,Chestnut,149,69,53,,https://encycolorpedia.com/954535,encycolorpedia
#60281e,Chestnut-leather brown (Kurikawacha),96,40,30,,https://encycolorpedia.com/60281e,encycolorpedia
