HEX,Name,Red,Green,Blue,Family,Link,Source
#d7e0f1,1005-R90B,215,224,241,,,NCS
#f1eede,1005-Y,241,238,222,,,NCS
#f1ecdd,1005-Y10R,241,236,221,,,NCS
#f1eadc,1005-Y20R,241,234,220,,,NCS
#f1eadc,1005-Y20R,241,234,220,,,NCS
#f1e8db,1005-Y30R,241,232,219,,,NCS
#f1e6da,1005-Y40R,241,230,218,,,NCS
#f1e3d9,1005-Y50R,241,227,217,,,NCS
#f1e0d8,1005-Y60R,241,224,216,,,NCS
#f1ddd6,1005-Y70R,241,221,214,,,NCS
#f1d9d4,1005-Y80R,241,217,212,,,NCS
#f1d6d4,1005-Y90R,241,214,212,,,NCS
#c8e2f1,1010-B,200,226,241,,,NCS
#cae7f1,1010-B10G,202,231,241,,,NCS
#cdeef1,1010-B30G,205,238,241,,,NCS
#cef1f0,1010-B50G,206,241,240,,,NCS
#ccf1ec,1010-B70G,204,241,236,,,NCS
#c6f1de,1010-B90G,198,241,222,,,NCS
#c2f1d5,1010-G,194,241,213,,,NCS
#cff1d1,1010-G10Y,207,241,209,,,NCS
#d8f1cd,1010-G20Y,216,241,205,,,NCS
#def1cb,1010-G30Y,222,241,203,,,NCS
#e4f1c9,1010-G40Y,228,241,201,,,NCS
#e8f1cb,1010-G50Y,232,241,203,,,NCS
#ecf1cc,1010-G60Y,236,241,204,,,NCS
#eff1ce,1010-G70Y,239,241,206,,,NCS
#f1f0ce,1010-G80Y,241,240,206,,,NCS
#f1eecd,1010-G90Y,241,238,205,,,NCS
#f1b8bb,1010-R,241,184,187,,,NCS
#f1bac0,1010-R10B,241,186,192,,,NCS
#f1bdc7,1010-R20B,241,189,199,,,NCS
#f1c0d0,1010-R30B,241,192,208,,,NCS
#f1c5db,1010-R40B,241,197,219,,,NCS
#f1ccea,1010-R50B,241,204,234,,,NCS
#e4c9f1,1010-R60B,228,201,241,,,NCS
#d7c8f1,1010-R70B,215,200,241,,,NCS
#bcc6f1,1010-R80B,188,198,241,,,NCS
#c1d1f1,1010-R90B,193,209,241,,,NCS
#f1eccc,1010-Y,241,236,204,,,NCS
#f1e8cb,1010-Y10R,241,232,203,,,NCS
#f1e4c9,1010-Y20R,241,228,201,,,NCS
#f1e0c7,1010-Y30R,241,224,199,,,NCS
#f1dcc5,1010-Y40R,241,220,197,,,NCS
#f1d7c3,1010-Y50R,241,215,195,,,NCS
#f1d1c1,1010-Y60R,241,209,193,,,NCS
#f1cbbe,1010-Y70R,241,203,190,,,NCS
#f1c5bc,1010-Y80R,241,197,188,,,NCS
#f1bebb,1010-Y90R,241,190,187,,,NCS
#b6dbf1,1015-B,182,219,241,,,NCS
#bbe8f1,1015-B20G,187,232,241,,,NCS
#bef1ef,1015-B50G,190,241,239,,,NCS
#baf1e5,1015-B80G,186,241,229,,,NCS
#aef1c8,1015-G,174,241,200,,,NCS
#cdf1be,1015-G20Y,205,241,190,,,NCS
#def1b7,1015-G40Y,222,241,183,,,NCS
#eaf1bc,1015-G60Y,234,241,188,,,NCS
#f1f0be,1015-G80Y,241,240,190,,,NCS
#f1ecbd,1015-G90Y,241,236,189,,,NCS
#f1a1a6,1015-R,241,161,166,,,NCS
#f1a4ad,1015-R10B,241,164,173,,,NCS
#f1a7b6,1015-R20B,241,167,182,,,NCS
#f1b2d2,1015-R40B,241,178,210,,,NCS
#dfb7f1,1015-R60B,223,183,241,,,NCS
#a6b4f1,1015-R80B,166,180,241,,,NCS
#acc3f1,1015-R90B,172,195,241,,,NCS
#f1e9bb,1015-Y,241,233,187,,,NCS
#f1e4b9,1015-Y10R,241,228,185,,,NCS
#f1dfb7,1015-Y20R,241,223,183,,,NCS
#f1d9b5,1015-Y30R,241,217,181,,,NCS
#f1d2b2,1015-Y40R,241,210,178,,,NCS
#f1cbb0,1015-Y50R,241,203,176,,,NCS
#f1c4ad,1015-Y60R,241,196,173,,,NCS
#f1bca9,1015-Y70R,241,188,169,,,NCS
#f1b3a6,1015-Y80R,241,179,166,,,NCS
#f1aaa5,1015-Y90R,241,170,165,,,NCS
#a5d5f1,1020-B,165,213,241,,,NCS
#a8dff1,1020-B10G,168,223,241,,,NCS
#adebf1,1020-B30G,173,235,241,,,NCS
#afeff1,1020-B40G,175,239,241,,,NCS
#aef1ef,1020-B50G,174,241,239,,,NCS
#adf1eb,1020-B60G,173,241,235,,,NCS
#abf1e7,1020-B70G,171,241,231,,,NCS
#a2f1ce,1020-B90G,162,241,206,,,NCS
#9cf1bd,1020-G,156,241,189,,,NCS
#b3f1b5,1020-G10Y,179,241,181,,,NCS
#c2f1af,1020-G20Y,194,241,175,,,NCS
#cef1aa,1020-G30Y,206,241,170,,,NCS
#d8f1a6,1020-G40Y,216,241,166,,,NCS
#e1f1a9,1020-G50Y,225,241,169,,,NCS
